,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,10,-0.020238946,0.143229491,-0.011842928,0.119919941,0.014921183,0.001169827,0.011178347,0.064458271,-0.125364244,0.049814955,0,0.030889424,0.105647037,-0.088057953,0.173610424,-0.065139459,-0.062969332,0.00283124,-0.255272245,0.232538,0.096342529,-0.016565131,-0.158234174,-0.033763554,-0.038630653,0,0.06050461,-0.166710145,0.04900857,0.014926761,-0.061921991,-0.02034962,0.31151282,0.458562754
7,11,-0.021060503,0.126324337,-0.012819219,0.063005135,0,0.000511048,0.013856226,0.049578916,-0.044561962,0.007339726,0,0.000719675,0.04857859,-0.055485471,0.141001501,-0.058564497,-0.047735317,0,-0.239821109,0.187143984,0.052768759,0,-0.063589916,-0.001495112,-0.002217734,0,0,-0.136632477,0,0.0585705,-0.011593126,-0.006436295,0.217574982,0.461242101
19,12,-0.003361696,0.096862221,-0.009811801,0,0,0,0,0.001385839,0,0.020176274,0,0,0,-2.00E-05,0.107164578,-0.038361524,-0.055186308,0,-0.154236737,0.106624294,0,0,0,0,0,0,0,-0.052126103,0,0.067036508,0,0,0.085697841,0.460478446
,13,0,0.047732768,0,0,0,0,0,0,0,0,0,0,0,0,0.03469631,0,-0.023749583,0,0,0,0,0,0,0,0,0,0,0,0,0.045589771,0,0,0,0.431099189
,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346900443
,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105109182
,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
